"Source:","/Users/colincatlin/Documents/catlin_card/catlin_card.kicad_sch"
"Date:","Saturday, June 03, 2023 at 09:45:14 PM"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","30"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","Batt LIR2450","Battery","Battery:BatteryHolder_Keystone_3008_1x2450","Multiple-cell battery","C964845"
"C1, C2, C3, ","3","1 uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","C28323"
"D1, ","1","R_LED","LED","PowerIC:LED_SMD3030","Light emitting diode","C1322324"
"D2, ","1","G_LED","LED","PowerIC:LED_SMD3030","Light emitting diode","C1322325"
"D3, ","1","B_LED","LED","PowerIC:LED_SMD3030","Light emitting diode","C440449"
"D4, ","1","SS54","D_Schottky","Diode_SMD:D_SMA_Handsoldering","Schottky diode","C22452"
"D5, ","1","TVS","D_Zener","Diode_SMD:D_SOD-123","Zener diode","C2990493"
"J1, ","1","pinhead","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, R4, R6, ","3","100Ω","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol","C17901"
"R2, R3, R5, ","3","300Ω","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol","C17887"
"R7, ","1","1kΩ","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol","C17513"
"R8, ","1","2.4kΩ","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol","C17526"
"RV1, RV2, RV3, ","3","Pot 5kΩ 0.25W","R_Potentiometer","Potentiometer_SMD:Potentiometer_Bourns_3314G_Vertical","Potentiometer","C719180"
"SC1, ","1","Solar_Cell","Solar_Cell","Resistor_SMD:R_4020_10251Metric","Single solar cell","SM141K10LV"
"SW1, ","1","SW_SPDT","SW_SPDT","Button_Switch_SMD:SW_SPDT_PCM12","Switch, single pole double throw","C128955"
"TH1, ","1","Thermistor_PTC","Thermistor_PTC","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","Temperature dependent resistor, positive temperature coefficient",""
"TP1, TP4, ","2","TestPoint","TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","test point",""
"TP2, TP5, ","2","TP","TestPoint","TestPoint:TestPoint_Pad_4.0x4.0mm","test point",""
"TP3, ","1","TP","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point",""
"U1, ","1","AP2210K-ADJ","AP2204K-ADJ","Package_TO_SOT_SMD:SOT-23-5","150mA low dropout adjustable linear regulator, wide input voltage range, SOT-23-5 package","C507874"
